example_id,example_key,folder,label,relative_wav_path,lsd,sispec,si_sdr
2,bwe_2,encodec_transport,Mean Shift (Encodec),encodec_transport/bwe_2_mean_shift.wav,1.8091349601745605,19.56818199157715,16.935739517211914
2,bwe_2,encodec_transport,Local Mean (Encodec),encodec_transport/bwe_2_local_mean.wav,1.669049859046936,19.949913024902344,17.274799346923828
2,bwe_2,encodec_transport,Local Mean with Clean Lowband (Encodec),encodec_transport/bwe_2_local_mean_clean_lowband.wav,1.6286824941635132,30.506183624267578,29.433042526245117
4,bwe_4,ground_truth,GT,ground_truth/bwe_4_GT.wav,,,
4,bwe_4,degraded,Degraded,degraded/bwe_4_Degraded.wav,3.063385486602783,32.69206619262695,32.671119689941406
4,bwe_4,audiosr,AudioSR,audiosr/bwe_4_AudioSR.wav,1.8667975664138794,17.868362426757812,16.45169448852539
4,bwe_4,cqtdiff,CQTDiff,cqtdiff/bwe_4_CQTDiff.wav,1.6922070980072021,20.276569366455078,-33.712921142578125
4,bwe_4,IBAR,IBAR,IBAR/bwe_4_IBAR.wav,1.4587959051132202,7.693473815917969,-24.37045669555664
4,bwe_4,A2SB,A2SB (4-split),A2SB/bwe_4_A2SB_4split.wav,1.4850795269012451,33.56126403808594,32.37857437133789
4,bwe_4,mean_shift,Mean Shift,mean_shift/bwe_4_mean_shift.wav,1.745792031288147,15.827409744262695,12.635197639465332
4,bwe_4,mean_shift,Local Mean,mean_shift/bwe_4_local_mean.wav,1.7649133205413818,15.944509506225586,12.685636520385742
4,bwe_4,mean_shift,Local Mean with Clean Lowband,mean_shift/bwe_4_local_mean_clean_lowband.wav,1.716446876525879,24.798995971679688,23.578933715820312
4,bwe_4,codicodec_transport,Mean Shift (CodiCodec),codicodec_transport/bwe_4_mean_shift.wav,1.6229296922683716,12.347053527832031,8.363760948181152
4,bwe_4,codicodec_transport,Local Mean (CodiCodec),codicodec_transport/bwe_4_local_mean.wav,1.6044516563415527,11.891502380371094,7.948245525360107
4,bwe_4,codicodec_transport,Local Mean with Clean Lowband (CodiCodec),codicodec_transport/bwe_4_local_mean_clean_lowband.wav,1.5549566745758057,24.70929718017578,23.768835067749023
4,bwe_4,dac_transport,Mean Shift (DAC),dac_transport/bwe_4_mean_shift.wav,1.8612041473388672,15.858448028564453,14.014729499816895
4,bwe_4,dac_transport,Local Mean (DAC),dac_transport/bwe_4_local_mean.wav,1.8493778705596924,15.658758163452148,13.953784942626953
4,bwe_4,dac_transport,Local Mean with Clean Lowband (DAC),dac_transport/bwe_4_local_mean_clean_lowband.wav,1.8133493661880493,30.178035736083984,28.68311309814453
4,bwe_4,encodec_transport,Mean Shift (Encodec),encodec_transport/bwe_4_mean_shift.wav,1.922642707824707,19.786123275756836,17.5673885345459
4,bwe_4,encodec_transport,Local Mean (Encodec),encodec_transport/bwe_4_local_mean.wav,1.7978359460830688,19.888063430786133,17.62371826171875
4,bwe_4,encodec_transport,Local Mean with Clean Lowband (Encodec),encodec_transport/bwe_4_local_mean_clean_lowband.wav,1.7603179216384888,32.343650817871094,31.03030776977539
5,bwe_5,ground_truth,GT,ground_truth/bwe_5_GT.wav,,,
5,bwe_5,degraded,Degraded,degraded/bwe_5_Degraded.wav,2.075183153152466,29.773290634155273,29.74330711364746
5,bwe_5,audiosr,AudioSR,audiosr/bwe_5_AudioSR.wav,1.899301528930664,22.11094856262207,18.513519287109375
5,bwe_5,cqtdiff,CQTDiff,cqtdiff/bwe_5_CQTDiff.wav,1.39926278591156,19.942340850830078,-10.273164749145508
5,bwe_5,IBAR,IBAR,IBAR/bwe_5_IBAR.wav,1.1657055616378784,11.467823028564453,-50.761009216308594
5,bwe_5,A2SB,A2SB (4-split),A2SB/bwe_5_A2SB_4split.wav,1.594751000404358,28.5256404876709,27.639591217041016
5,bwe_5,mean_shift,Mean Shift,mean_shift/bwe_5_mean_shift.wav,1.0822746753692627,14.532001495361328,10.807474136352539
5,bwe_5,mean_shift,Local Mean,mean_shift/bwe_5_local_mean.wav,1.0542677640914917,14.670303344726562,10.978499412536621
5,bwe_5,mean_shift,Local Mean with Clean Lowband,mean_shift/bwe_5_local_mean_clean_lowband.wav,0.9776952266693115,31.59611701965332,29.460628509521484
5,bwe_5,codicodec_transport,Mean Shift (CodiCodec),codicodec_transport/bwe_5_mean_shift.wav,1.0611741542816162,9.961787223815918,5.866231441497803
5,bwe_5,codicodec_transport,Local Mean (CodiCodec),codicodec_transport/bwe_5_local_mean.wav,1.0466948747634888,10.287827491760254,6.293213367462158
5,bwe_5,codicodec_transport,Local Mean with Clean Lowband (CodiCodec),codicodec_transport/bwe_5_local_mean_clean_lowband.wav,0.9584558010101318,31.139833450317383,29.92396354675293
5,bwe_5,dac_transport,Mean Shift (DAC),dac_transport/bwe_5_mean_shift.wav,1.1898353099822998,14.506014823913574,12.476545333862305
5,bwe_5,dac_transport,Local Mean (DAC),dac_transport/bwe_5_local_mean.wav,1.080562710762024,14.859856605529785,12.782571792602539
5,bwe_5,dac_transport,Local Mean with Clean Lowband (DAC),dac_transport/bwe_5_local_mean_clean_lowband.wav,1.0192278623580933,31.379899978637695,29.74915313720703
5,bwe_5,encodec_transport,Mean Shift (Encodec),encodec_transport/bwe_5_mean_shift.wav,1.4820525646209717,18.863746643066406,16.457748413085938
5,bwe_5,encodec_transport,Local Mean (Encodec),encodec_transport/bwe_5_local_mean.wav,1.3581351041793823,19.24779510498047,16.847034454345703
5,bwe_5,encodec_transport,Local Mean with Clean Lowband (Encodec),encodec_transport/bwe_5_local_mean_clean_lowband.wav,1.3182517290115356,31.960567474365234,29.547752380371094
